SValue,ArraySize,KeyComparison,TimeTaken
0,10000,106362,1717
0,20000,224596,2144
0,30000,346455,3121
0,40000,471629,3448
0,50000,598294,4822
0,60000,726096,4611
0,70000,855578,7420
0,80000,986902,8723
0,90000,1118606,9737
0,100000,1250564,10831
1,10000,106387,1674
1,20000,224581,2418
1,30000,346478,3663
1,40000,471762,4881
1,50000,598310,6530
1,60000,726175,5755
1,70000,855601,6872
1,80000,986912,7522
1,90000,1118553,8448
1,100000,1250761,9510
2,10000,106383,1218
2,20000,224619,1785
2,30000,346517,2444
2,40000,471607,3257
2,50000,598421,4220
2,60000,726285,5367
2,70000,855540,5820
2,80000,986973,6667
2,90000,1118447,7624
2,100000,1250495,8592
3,10000,106389,720
3,20000,224582,1496
3,30000,346541,2332
3,40000,471785,3085
3,50000,598365,3868
3,60000,726298,4774
3,70000,855518,5566
3,80000,986797,6267
3,90000,1118633,7497
3,100000,1250483,7843
4,10000,106510,719
4,20000,224668,1466
4,30000,348005,2174
4,40000,471827,3035
4,50000,598506,3808
4,60000,728883,4464
4,70000,858557,5435
4,80000,987406,6244
4,90000,1118566,7079
4,100000,1251066,7694
5,10000,107472,650
5,20000,226649,1353
5,30000,347916,2177
5,40000,475952,3127
5,50000,598524,3806
5,60000,728854,4513
5,70000,861224,5070
5,80000,995467,5674
5,90000,1123316,6885
5,100000,1250895,7806
6,10000,107467,655
6,20000,226733,1343
6,30000,347846,2190
6,40000,476078,2828
6,50000,607616,3538
6,60000,728812,4537
6,70000,861173,5151
6,80000,995485,5689
6,90000,1132958,6795
6,100000,1269105,7084
7,10000,107446,648
7,20000,226780,1341
7,30000,353291,2071
7,40000,476024,2838
7,50000,609214,3440
7,60000,739679,4230
7,70000,861069,5077
7,80000,995347,5699
7,90000,1133194,6400
7,100000,1271990,7059
8,10000,107419,658
8,20000,226640,1357
8,30000,357433,1970
8,40000,475995,2785
8,50000,609056,3408
8,60000,747752,4057
8,70000,872599,5300
8,80000,995710,5737
8,90000,1133199,6401
8,100000,1272270,6970
9,10000,108460,644
9,20000,228718,1330
9,30000,357321,1957
9,40000,480037,2730
9,50000,609139,3397
9,60000,747643,4056
9,70000,891393,4646
9,80000,1003497,5608
9,90000,1132979,6438
9,100000,1272227,6969
10,10000,113082,590
10,20000,238001,1234
10,30000,357338,2014
10,40000,498225,2912
10,50000,608945,3412
10,60000,747806,4032
10,70000,891380,4595
10,80000,1040303,5213
10,90000,1133667,6395
10,100000,1272851,8572
