ArraySize,KeyOfSize1000,TimeOfSize1000,KeyOfSize100000,TimeOfSize100000,KeyOfSize10000000,TimeOfSize10000000
0,8340,122,1250558,8157,159163278,834206
5,8399,93,1251032,7519,160184090,751841
10,8770,67,1272354,6796,165521765,694579
15,9175,61,1354289,6463,165521765,693441
20,9981,55,1354289,6450,181488927,665505
25,9981,56,1577677,6252,181488927,664529
30,9981,54,1577677,6282,181488927,664600
35,13070,51,1577677,6182,181488927,666046
40,13070,49,1577677,6047,220562290,661369
45,13070,49,1577677,6009,220562290,659797
50,13070,45,2099322,6165,220562290,661209
55,13070,44,2099322,6094,220562290,662684
60,13070,43,2099322,6080,220562290,664038
65,19909,50,2099322,6107,220562290,664328
70,19909,51,2099322,6082,220562290,673258
75,19909,47,2099322,6033,220562290,665059
80,19909,49,2099322,6098,306924840,716187
85,19909,47,2099322,6074,306924840,715170
90,19909,49,2099322,5825,306924840,714655
95,19909,45,2099322,5927,306924840,714523
100,19909,46,3229001,6610,306924840,715082
105,19909,48,3229001,6586,306924840,714685
110,19909,47,3229001,6713,306924840,713119
115,19909,46,3229001,6605,306924840,717119
120,19909,55,3229001,6609,306924840,722858
125,34707,64,3229001,6714,306924840,715549
130,34707,66,3229001,6679,306924840,715626
135,34707,59,3229001,6852,306924840,712842
140,34707,59,3229001,7053,306924840,714671
145,34707,59,3229001,6964,306924840,714025
150,34707,58,3229001,6968,306924840,713398
155,34707,57,3229001,7067,488580618,849371
160,34707,59,3229001,7042,488580618,846136
165,34707,58,3229001,7162,488580618,848118
170,34707,59,3229001,7210,488580618,849395
175,34707,63,3229001,7086,488580618,852741
180,34707,187,3229001,7077,488580618,858281
185,34707,59,3229001,7097,488580618,851109
190,34707,62,3229001,7242,488580618,852539
195,34707,60,4842275,8109,488580618,851718
200,34707,63,5583928,8685,488580618,850027
